filename,top_x,top_y,bottom_x,bottom_y,pole_length
IMG_3284.JPG,1076.2,520.0,1236.7,1202.0,700.63362
IMG_2830.JPG,1043.1,523.0,1125.7,826.0,314.06512
IMG_1487.JPG,,,1163.0,653.0,
IMG_3290.JPG,1091.5,570.0,1237.1,1215.0,661.23031
IMG_2617.JPG,,,,,
IMG_0766.JPG,1206.7,483.0,1230.0,902.0,419.64583
IMG_2159.JPG,,,,,
IMG_1322.JPG,1141.9,493.0,1169.7,735.0,243.59333
IMG_0982.JPG,1150.9,496.0,1194.6,788.0,295.2527
IMG_1849.JPG,,,,,
IMG_2398.JPG,,,,,
IMG_3092.JPG,1052.9,519.0,1157.1,1048.0,539.164
IMG_2401.JPG,,,,,
IMG_0216.JPG,1255.5,464.0,1246.7,845.0,381.10086
IMG_2373.JPG,,,,,
IMG_3045.JPG,1042.8,517.0,1153.4,992.0,487.70425
IMG_1652.JPG,,,,,
IMG_3051.JPG,1046.0,519.0,1164.0,1039.0,533.21808
IMG_1083.JPG,1144.6,496.0,1191.2,824.0,331.28863
IMG_0362.JPG,1236.7,465.0,1275.8,1170.0,706.08472
IMG_0404.JPG,1260.0,793.0,1261.0,1127.0,334.0015
IMG_3119.JPG,1038.8,521.0,1160.0,1006.0,499.92656
IMG_2207.JPG,,,,,
IMG_0410.JPG,1239.7,465.0,1259.8,1132.0,667.30137
IMG_2561.JPG,1057.8,514.0,1110.2,731.0,223.23469
IMG_2549.JPG,1053.8,505.0,1109.5,728.0,229.86314
IMG_1726.JPG,,,,,
IMG_3125.JPG,1039.8,519.0,1154.1,1010.0,504.12453
IMG_1054.JPG,1143.9,491.0,1195.0,821.0,333.93116
IMG_2978.JPG,1043.5,519.0,1143.6,964.0,456.12288
IMG_2788.JPG,1066.9,514.0,1106.8,780.0,268.98256
IMG_2950.JPG,1062.7,593.0,1152.0,981.0,398.14217
IMG_1295.JPG,1134.5,491.0,1186.3,821.0,334.03437
IMG_0835.JPG,1176.9,560.0,1197.6,794.0,234.91421
IMG_2777.JPG,1050.1,506.0,1107.6,774.0,274.0846
IMG_2763.JPG,1054.6,513.0,1109.1,764.0,256.84382
IMG_3333.JPG,1087.3,514.0,1233.5,1236.0,736.65704
IMG_2993.JPG,1038.0,518.0,1149.2,963.0,458.6955
IMG_3332.JPG,1087.9,516.0,1232.5,1231.0,729.47845
IMG_1243.JPG,1138.4,493.0,1190.8,835.0,345.97697
IMG_2762.JPG,1060.9,511.0,1106.7,761.0,254.15341
IMG_1294.JPG,1151.8,484.0,1180.1,822.0,339.18564
IMG_2945.JPG,1034.9,518.0,1147.4,941.0,437.69389
IMG_2951.JPG,1039.0,521.0,1146.5,933.0,425.77617
IMG_2789.JPG,1061.0,515.0,1107.1,781.0,269.96922
IMG_2979.JPG,1038.4,519.0,1151.2,959.0,454.23974
IMG_3124.JPG,1038.3,520.0,1158.3,1008.0,502.54275
IMG_1055.JPG,1154.4,495.0,1189.8,822.0,328.91167
IMG_2548.JPG,,,1110.0,728.0,
IMG_1727.JPG,,,,,
IMG_2206.JPG,,,,,
IMG_3118.JPG,1040.0,522.0,1157.7,1008.0,500.035
IMG_2212.JPG,,,,,
IMG_0405.JPG,1258.0,759.0,1258.0,1128.0,369.0
IMG_1082.JPG,1147.9,496.0,1191.1,855.0,361.5951
IMG_3050.JPG,1054.5,578.0,1160.5,991.0,426.36589
IMG_2428.JPG,,,,,
IMG_1653.JPG,,,,,
IMG_3044.JPG,1036.2,523.0,1164.9,983.0,477.68248
IMG_2372.JPG,,,,,
IMG_0217.JPG,1251.0,465.0,1252.0,988.0,523.00096
IMG_2400.JPG,,,,,
IMG_0571.JPG,1232.7,469.0,1268.4,1129.0,660.96257
IMG_3093.JPG,1037.2,519.0,1174.1,1049.0,547.40064
IMG_2399.JPG,,,,,
IMG_1848.JPG,,,,,
IMG_1323.JPG,1179.2,670.0,1165.5,738.0,69.3666
IMG_0983.JPG,1150.0,496.0,1195.2,790.0,297.46105
IMG_2158.JPG,,,,,
IMG_0001.JPG,,,1147.7,570.0,
IMG_2616.JPG,,,,,
IMG_0767.JPG,1200.5,484.0,1234.3,888.0,405.40706
IMG_2831.JPG,1051.8,520.0,1124.2,842.0,330.04876
IMG_3291.JPG,1094.1,549.0,1224.0,1216.0,679.52244
IMG_1486.JPG,,,1165.6,650.0,
IMG_3285.JPG,1080.1,518.0,1225.4,1206.0,703.17421
IMG_2825.JPG,1107.3,675.0,1119.8,788.0,113.68584
IMG_2803 (1).JPG,1063.9,506.0,1109.6,784.0,281.73214
IMG_1484.JPG,,,1166.4,650.0,
IMG_3293.JPG,1091.3,512.0,1195.6,1166.0,662.25368
IMG_2833.JPG,1056.0,520.0,1115.0,805.0,291.04063
IMG_2827.JPG,1059.8,514.0,1113.2,794.0,285.06534
IMG_3287.JPG,1080.6,516.0,1224.1,1218.0,716.52646
IMG_1490.JPG,,,1171.0,683.0,
IMG_0765.JPG,1207.2,483.0,1229.8,913.0,430.59477
IMG_2614.JPG,,,,,
IMG_0981.JPG,1153.5,495.0,1194.9,786.0,293.93352
IMG_1321.JPG,1142.5,493.0,1169.8,734.0,242.54819
IMG_3244.JPG,1063.9,513.0,1200.5,1174.0,674.9588
IMG_3091.JPG,1039.5,523.0,1158.8,1004.0,495.5626
IMG_0598.JPG,1227.7,469.0,1288.1,1124.0,657.77953
IMG_2370.JPG,,,,,
IMG_1679.JPG,,,,,
IMG_0573.JPG,1231.9,468.0,1267.4,1126.0,658.95612
IMG_2402.JPG,,,,,
IMG_0215.JPG,1255.6,464.0,1246.3,854.0,390.11041
IMG_1123.JPG,1142.3,495.0,1192.5,831.0,339.72595
IMG_3052.JPG,1038.8,520.0,1160.9,996.0,491.40486
IMG_3046.JPG,1056.6,543.0,1147.6,993.0,459.10505
IMG_2589.JPG,1077.5,514.0,1110.2,747.0,235.27792
IMG_1080.JPG,1140.9,491.0,1196.6,852.0,365.27018
IMG_2562.JPG,1054.7,516.0,1114.0,745.0,236.54529
IMG_2204.JPG,,,,,
IMG_0407.JPG,1238.0,465.0,1257.9,1140.0,675.29202
IMG_2210.JPG,,,,,
IMG_0361.JPG,1238.4,464.0,1276.7,1170.0,707.03342
IMG_1057.JPG,1152.6,494.0,1187.9,820.0,327.90612
IMG_1731.JPG,,,,,
IMG_1725.JPG,,,,,
IMG_0836.JPG,1185.1,487.0,1210.1,791.0,305.02691
IMG_2947.JPG,1037.1,521.0,1156.6,963.0,457.85804
IMG_0188.JPG,1251.0,466.0,1271.7,1234.0,768.27858
IMG_1296.JPG,1129.7,491.0,1189.1,819.0,333.33863
IMG_2953.JPG,1038.5,519.0,1146.3,936.0,430.6951
IMG_2760.JPG,1059.8,515.0,1105.9,755.0,244.38147
IMG_1269.JPG,1139.9,493.0,1184.1,830.0,339.88567
IMG_0163.JPG,1242.2,467.0,1300.0,1180.0,715.33842
IMG_2012.JPG,,,,,
IMG_3330.JPG,1090.3,518.0,1268.2,1504.0,1001.92656
IMG_3331.JPG,1087.4,518.0,1232.0,1235.0,731.43693
IMG_1268.JPG,1139.5,490.0,1184.1,830.0,342.9102
IMG_2761.JPG,1070.5,599.0,1117.4,726.0,135.38029
IMG_2952.JPG,1061.5,601.0,1135.8,943.0,349.97148
IMG_0837.JPG,1174.4,487.0,1215.5,790.0,305.77347
IMG_1297.JPG,1152.4,492.0,1179.1,822.0,331.08127
IMG_0189.JPG,1256.3,465.0,1248.0,885.0,420.08107
IMG_2946.JPG,1038.5,517.0,1150.4,973.0,469.53746
IMG_1724.JPG,,,,,
IMG_1056.JPG,1153.7,494.0,1190.0,820.0,328.00993
IMG_1730.JPG,,,,,
IMG_2211.JPG,,,,,
IMG_0406.JPG,1223.1,466.0,1255.0,720.0,255.9903
IMG_0360.JPG,1241.3,464.0,1261.6,1179.0,715.28792
IMG_2563.JPG,1058.9,515.0,1113.4,747.0,238.32175
IMG_2205.JPG,,,,,
IMG_1081.JPG,1169.7,553.0,1182.5,854.0,301.27436
IMG_2588.JPG,1072.2,513.0,1111.4,748.0,238.23828
IMG_3047.JPG,1040.2,523.0,1166.8,1029.0,521.57286
IMG_3053.JPG,1037.9,520.0,1162.4,995.0,491.02714
IMG_0572.JPG,1228.4,469.0,1280.7,1115.0,648.11877
IMG_0214.JPG,1251.0,465.0,1252.0,988.0,523.00096
IMG_2403.JPG,,,,,
IMG_2417.JPG,,,,,
IMG_1678.JPG,,,,,
IMG_2371.JPG,,,,,
IMG_0599.JPG,1234.8,468.0,1265.5,1126.0,658.71501
IMG_3090.JPG,1039.9,527.0,1160.6,1019.0,506.58746
IMG_3245.JPG,1063.9,513.0,1210.5,1223.0,724.97893
IMG_0980.JPG,1150.9,495.0,1195.7,784.0,292.44894
IMG_1320.JPG,1174.5,623.0,1179.4,737.0,114.10809
IMG_0770.JPG,1205.3,484.0,1224.3,826.0,342.52705
IMG_0764.JPG,1206.7,483.0,1230.8,917.0,434.66894
IMG_0002.JPG,1263.3,474.0,1285.8,1240.0,766.33139
IMG_2615.JPG,,,,,
IMG_2826.JPG,1112.5,696.0,1105.2,792.0,96.27979
IMG_1491.JPG,,,1171.7,682.0,
IMG_3286.JPG,1091.5,571.0,1224.1,1207.0,649.67818
IMG_3292.JPG,1081.8,513.0,1227.8,1231.0,732.68024
IMG_1485.JPG,,,1168.7,680.0,
IMG_2832.JPG,1045.6,520.0,1117.7,803.0,292.02288
IMG_2836.JPG,1044.2,519.0,1116.0,806.0,295.83283
IMG_2188.JPG,,,,,
IMG_3282.JPG,1079.8,522.0,1245.3,1331.0,825.75405
IMG_1442.JPG,,,,,
IMG_0984.JPG,1154.2,472.0,1190.7,791.0,321.07419
IMG_3241.JPG,1062.6,513.0,1194.0,1165.0,665.10318
IMG_2639.JPG,,,,,
IMG_2611.JPG,,,,,
IMG_1318.JPG,1142.5,493.0,1172.3,767.0,275.61932
IMG_3269.JPG,1097.5,594.0,1244.0,1226.0,648.76315
IMG_3094.JPG,1033.7,517.0,1175.1,1035.0,536.9684
IMG_1683.JPG,,,,,
IMG_1873.JPG,,,,,
IMG_2349.JPG,,,,,
IMG_1126.JPG,1140.7,496.0,1192.7,832.0,340.00549
IMG_0238.JPG,1244.5,464.0,1279.4,1226.0,762.79777
IMG_3043.JPG,1038.2,518.0,1158.1,986.0,483.11739
IMG_1654.JPG,,,,,
IMG_2375.JPG,,,,,
IMG_0576.JPG,1228.3,468.0,1280.1,1119.0,653.05513
IMG_3123.JPG,1037.8,521.0,1160.5,1012.0,506.11122
IMG_1052.JPG,1153.2,489.0,1190.9,819.0,332.14526
IMG_0358.JPG,1237.8,464.0,1276.1,1173.0,710.03389
IMG_3137.JPG,1035.5,520.0,1158.0,1010.0,505.08044
IMG_2229.JPG,,,,,
IMG_2567.JPG,1114.2,658.0,1109.4,740.0,82.13659
IMG_2573.JPG,1111.0,661.0,1102.5,746.0,85.4242
IMG_1293.JPG,1150.9,491.0,1179.5,824.0,334.22676
IMG_2956.JPG,1039.8,517.0,1153.0,970.0,466.94171
IMG_1250.JPG,1133.9,495.0,1192.4,835.0,344.99842
IMG_2981.JPG,1042.1,517.0,1142.4,963.0,457.14788
IMG_2759.JPG,1050.1,514.0,1106.5,750.0,242.65759
IMG_3335.JPG,1088.7,514.0,1232.5,1251.0,750.88664
IMG_2995.JPG,1036.8,520.0,1151.7,964.0,458.61864
IMG_1244.JPG,1137.0,494.0,1189.5,835.0,345.01018
IMG_2765.JPG,1058.6,513.0,1108.1,771.0,262.71033
IMG_3309.JPG,1083.9,517.0,1231.8,1228.0,726.21988
IMG_0600.JPG,1237.9,468.0,1260.1,1126.0,658.37464
IMG_0166.JPG,1245.3,466.0,1286.8,1232.0,767.11914
IMG_0601.JPG,1231.9,469.0,1267.3,1125.0,656.95373
IMG_3308.JPG,1083.9,518.0,1229.2,1212.0,709.06048
IMG_0167.JPG,1245.7,466.0,1286.3,1238.0,773.06778
IMG_2764.JPG,1054.9,514.0,1108.9,768.0,259.69593
IMG_3334.JPG,1098.7,513.0,1147.2,904.0,394.00116
IMG_1245.JPG,1147.6,491.0,1186.2,838.0,349.13836
IMG_2994.JPG,1037.2,519.0,1151.3,961.0,456.4802
IMG_2758.JPG,1078.3,557.0,1101.7,746.0,190.44071
IMG_2980.JPG,1041.8,519.0,1152.3,998.0,491.58404
IMG_1251.JPG,1137.7,495.0,1189.4,839.0,347.84954
IMG_2957.JPG,1042.3,518.0,1137.7,942.0,434.598
IMG_1292.JPG,1145.3,488.0,1182.5,822.0,336.07069
IMG_2572.JPG,1057.5,516.0,1113.8,741.0,231.92469
IMG_0403.JPG,,,,,
